MANIFESTATIONS SPORTIVES 2009/2010,,,,,,,
,,,,,,,
  MANIFESTATIONS MAJEURES,,,,,,,
NB : Les nouvelles manifestations sont indiques en gras,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Mois,"Date

",Manifestations,Type,Lieux,Organisateurs,Secteur,Quartiers
mars-10,21,Challenge Andr‚ Barth‚lemy, ,Pradettes,Judo Club des Pradettes,Ouest,6.2
mars-10,21,Elections R‚gionales,,L‚o Lagrange + Pierre et Marie Curie + Ernest Renan,Elections - Affaires Militaires,,
mars-10,23,Petit Treize primaire (1000 participants),,Struxiano - Terrains Synth‚tique et Herbe,UGSEL,Sud Est,5.1
mars-10,26,Carnaval avec cr‚mation,,Amouroux - Stabilis‚,Ecole Michoun / AH Scolaires,Nord,3.4
mars-10,27,Journ‚es Portes Ouvertes - Vide Grenier,,Parking Gymnase Lalande,CollŠge Lalande,Nord,3.3
mars-10,"27

","M‚dailles du T.O.A.C ""Finales""", ,Piscine L‚o Lagrange,T.O.A.C - Natation,Centre,1.1
mars-10,"27 et 28

",Championnats r‚gionaux V‚t‚rans et Seniors,,GIAT - Pierre Montan‚,Volant Club Toulousain,Ouest,6.1
mars-10,"27 et 28

",4Šme Tour Crit‚rium F‚d‚ral,,Cosec Mirail,Comit‚ D‚partemental Tennis de Table,Ouest,6.3
mars-10,28,32Šme tournoi de Fleuret,,Universite Paul Sabatier,TUC Escrime,,
mars-10,31,Championnat Acad‚mie de Gym,,Rangueil,UNSS Haute Garonne,Ouest,6.3
mars-10,31,Projet Delta - Secourisme,,Piscine Bellevue,Ecole Sup‚rieure de Commerce,Sud Est,5.2
mars-10,31,Carnaval Bagatelle Faourette,,Bagatelle - la Halle,Animation Socio culturelle,Rive Gauche,2.3
mars-10,31,Conf‚rence Citoyenne des Jeunes Citoyens Supporters du T.F.C.,,Stadium - Club Affaire et Bod‚ga,Jeunes Citoyens Supporters,Sud Est,5.3
mars-10,31,Handiff‚rence,,Daste /  Corbarieu,ARTIVITY,Sud Est,5.3
mars-10,31,D‚couverte Volley Ball,,Palais des Sports,Spacer's Tlse Volley Ball + un maillon pour la vie,Centre,1.2
avr-10,2,Nuit du Shaolin, ,Palais des Sports,Shaolin Toulouse,Centre,1.2
avr-10,2,Rencontres Inter Ecoles,,Struxiano - Terrains Synth‚tique et Herbe,Inspection Acad‚mique,Sud Est,5.1
avr-10,2 et 5,Tournoi International Handibad,,Arnaune,Ligue Midi Pyr‚n‚es Badminton,Nord,3.1
avr-10,3,Contest Skateboard,,Skate Park Borderouge,ARA,Nord,3.4
avr-10,3,Projet Delta - Triathlon,,Pech David  + Piscine,Ecole Sup‚rieure de Commerce - Mr Bachelier,Sud Est,5.2
avr-10,3 et 4,Tournoi de Pƒques de Boules Lyonnaises,,Boulodrome Victor Garcia - Ren‚ Canzzo,Comit‚ D‚partemental 31,,
avr-10,3 et 4,Evasion Tropicale Tournoi sportif,,Nakache,Tropik FC,Sud Est,5.3
avr-10,4,Tournoi Foot en Salle,,Faourette,Association des Etudiants S‚n‚galais,ouest,6.3
avr-10,4,Concours de P‚tanque,,Papus - Boulodrome,Papus P‚tanque Club,Rive Gauche,2.3
avr-10,"7

","Comp‚tition R‚gional  Promotionnel et Crit‚rium par Equipe

",,Alban Minville,UGSEL,Sud Est,5.3
avr-10,10,Concours de P‚tanque,,Boulodrome Jo Bargas,Club de P‚tanque de Bagatelle,Rive Gauche,2.3
avr-10,10,12h de Sport pour Ha‹ti,,Lautrec - Gymnase + Foot Herbe,AGATE,Nord,3.1
avr-10,10,Repas des B‚n‚voles,,Lardenne - Gymnase,Les Restaurants du C?ur,Ouest,6.2
avr-10,10 et 11,Championnat de France Jeune,,Argoulets - Gymnase,F‚d‚ration Fran‡aise WUSHU,Est,4.3
avr-10,"10 et 11



","Demi-Finale de Zone Sud-Ouest de G.R.S divisions f‚d‚rales et nationales
(mise en place le 9 aprŠs-midi,
 d‚montage le 12 au matin)


"," 







",Palais des Sports - Compans,Coquelicot Toulouse Gym.,Centre,1.2
avr-10,10,Championnat D‚partemental de Gym Artistique F‚minin,,Rangueil,Coquelicot Toulouse Gym.,Ouest,6.3
avr-10,28,Journ‚es des Sports,,La Ram‚e (avec CU),Institut Catholique de Toulouse,Ouest,6.4
avr-10,29,Concours de P‚tanque,,Mirail - Boulodromme,Boule d'Or,Ouest,6.3
avr-10,30,Vente aux enchŠres (pas de doc au 11/02/2010),,Stadium - Espace Sud,Association Brice TATON,Sud Est,5.3
avr-10,30,Loto du CADL,,Gymnase Lardenne,Collectif Association de Lardenne,Ouest,6.2
mai-10,1,Tournoi de Foot,,Rangueil,Toulouse Rangueil Football Club,Sud Est,5.2
mai-10,1,Tournoi Sixte Entreprise,,"Gironis

",TAC Foot,Ouest,6.5
mai-10,1,Vide Grenier,,Boulodrome Amidonniers,Service Navigation Toulouse,Trait‚,
mai-10,1,Journ‚e de Festivit‚,,Pradettes,Association Culturelle CAFES ESPOIR,Ouest,6.2
mai-10,1,Tournoi Annuel,,Complexe de l'Hers,A.S. Hersoise,Est,4.3
mai-10,1,Tournoi de Foot,,Canto Laouzetto,A.S.T.M,Ouest,6.3
mai-10,"1 et 2




","Demi-Finale Sud de Trampoline et Sports Acrobatiques
(mise en place le 29 aprŠs-midi, d‚montage le 3 au matin)

", ,Compans,Coquelicot Toulouse Gym.,Centre,1.2
mai-10,2,Fˆte des Socialistes,,MounŠde,Les Socialistes des Sections 11 et 12,Ouest,6.4
mai-10,2,Vide Grenier,,Plateau Sportif Alain Fournier,Ecole El‚mentaire Alain Fournier,Nord,3.1
mai-10,2,Concours de P‚tanque,,Place du Ravelin,Amicale P‚tanque Club du Ravelin,,
mai-10,4,Parlement du Sport - Vie des Clubs,,Stadium - Espace Loge 1er ‚tage,Direction des Sports,Sud Est,5.3
mai-10,7 et 8,Comm‚moration Abolition de l'Esclavage,,Palais des Sports - Salon VIP 1,"F‚d‚ration Association ultramarine de Midi Pyr‚n‚es ""F.A.U""",Centre,1.2
mai-10,8,Tournoi de Foot … 7,,Pradettes,Toulouse Sport et Amiti‚s,Ouest,6.2
mai-10,8,Challenge inter entreprises,,La Ram‚e (avec CU),DELI (Communaut‚ Urbaine),Ouest,6.4
mai-10,8 au 18,Convention Jonglerie - Boudu la Jongle,,"Argoulets

",Assoc Par Haz'Art,Est,4.3
mai-10,8 et 9,Championnat R‚gional Jeunes Badminton,,Montane GIAT,Volant Club Toulousain,Ouest,6.1
mai-10,9,Concours de P‚tanque,,Place du Ravelin,Amicale P‚tanque Club du Ravelin,,
mai-10,9,Loto,,Boulodrome,Amicale Bouliste Colonne Marengo,,
mai-10,9,Vide Grenier,,Mirail,Association L'Etude,Ouest,6.3
mai-10,9,Tournoi fin de saison,,Toulouse Lautrec,Stade Toulousain Volley Ball,Nord,3.1
mai-10,9,Boxe Fran‡aise Karat‚ Kyoken Shin,,Montane GIAT,Tago Gym,ouest,6.1
mai-10," 11

",Cross de l'Ecole,,Cazal Lapujade,Ecole ‚l‚mentaire Cuvier,Nord,3.1
mai-10,12 et 13,Championnat de France Scolaire de Judo, ,"Argoulets - Nouveau Gymnase + (Maison du Judo avec la Communaut‚ Urbaine)

",UNSS Toulouse,Est,4.3
mai-10,12,Concours Officiel,,Place Baudouin,Club P‚tanque Casselardit,,
mai-10,12,Course d'endurance,,Amouroux,Ecole ‚l‚mentaire Michoun,Nord,3.4
mai-10,12,Manifestation (Vestiaires Uniquement),,Sordelo,Service Sp‚cialis‚,Sud Est,5.2
mai-10,12,Ev‚nement DJ Promotion,,Stadium,Les Espaces du Stadium,Sud Est,5.3
mai-10,13,5Šme Tournoi de l'Amiti‚,,Argoulets,EUR AFRI FOOT,Est,4.3
mai-10,13,Tournoi de Football,,ASEAT,7 Notre quartier,Est,4.2
mai-10,13,Tournoi de Foot Poussins,,Pradettes,Jeunesse Sportive des Pradettes,Ouest,6.2
mai-10,14,Concours Officiels,,Croix Daurade,Club P‚tanque Croix Daurade,,
mai-10,"14 et 15

","UNGLOSS - Tournoi

", ,"La Ram‚e, Palais de la P‚tanque, SesquiŠres",CRAM,Ouest,6.2
mai-10,15,Tournoi de Foot,,La MounŠde,ETHIO Toulouse,Ouest,6.4
mai-10,15,Contest Skateboard,,Skate Park La Plaine,ARA,Est,4.3
mai-10,15,Inter Agros,,Piscine Pech David,Activ ' ENSAT,Sud Est,5.2
mai-10,15 et 16,Tournoi de l'Occitanie de Karat‚,,Compans,Comit‚ D‚partemental de Karat‚,Centre,1.2
mai-10,16,Concours de P‚tanque,,Lapujade,Club P‚tanque Lapujade,Est,4.1
mai-10,15 et 16,XIV Grand Prix Toulouse Triathlon,,La Ram‚e,TOAC Triathlon,Ouest,6.4
mai-10,18,Parlement du Sport - Organisation ‚vŠnements,,Stadium - Espace Loge 1er ‚tage,Direction des Sports,Sud Est,5.3
mai-10,19,Rallye - Sant‚ - Nutrition,,Merlettes,CPAM,Ouest,6.5
mai-10,19,Fˆte des Sports,,Cosec et Nouveau Mirail - Gymnase,Universit‚ Toulouse Mirail,Ouest,6.3
mai-10,19,les 1000 m“mes du 31,,Sordelo,Comit‚ D‚partemental de Hand Ball,Sud Est,5.2
mai-10,19 et 20,La Ronde de l'Izard,,Stadium - Parvis + salles,Association Ronde de l'Izard,Sud Est,5.3
mai-10,21 au 23,Demande de mat‚riel - Festival Maillol,,Maillol,Fˆtes et C‚r‚monies,,
mai-10,22,Contest Skateboard,,Skate Park La Plaine,ARA,Est,4.3
mai-10,22,Toulouse en Piste - Echauffement,,L‚o Lagrange,R‚gie G‚n‚rale Toulouse en Piste,centre,1.3
mai-10,22,Tournoi Ecole de Foot,,Canto Laouzetto,Toulouse Mirail,Ouest,6.3
mai-10,22,"Challenge ""Philippe ATHIEL""", ,"Gironis

",TAC Lafourguette,Ouest,6.5
mai-10,22,"1er Open Masters Toulouse

",,L‚o Lagrange,CD Natation,Centre,1.3
mai-10,22 et 23,Grand Prix de la Ville de Toulouse,,Mondonville,TEC - Sports de Boules,,
mai-10,22 et 23,Tournoi de Football,,MounŠde,Association Folklorique Villa Rose,Ouest,6.5
mai-10,22 et 23,10‚me Anniversaire TROPIK,,Marcel Cerdan,Tropik FC,Ouest,6.3
mai-10,22 et 23,9Šme Edition Tournoi Poussins,,Corbarieu - Terrains,Toulouse Empalot Football Club,Sud Est,5.3
mai-10,22 et 23,Open de France de Gealball,,Lalande,ATAACS,Nord,3.3
mai-10,23,Concours de P‚tanque,,Mirail - Boulodromme,"La Boule d'Or

",Ouest,6.3
mai-10,25,Tournoi annuel de foot,,Pradettes - Terrains,Aviation Civile,Ouest,6.2
mai-10,25,Citro‰n Business Tour 2010,,Stadium - Parvis,Les Espaces du Stadium,Sud Est,5.3
mai-10,26,Tournoi de Foot,,Sastres,TISSEO,Nord,3.4
mai-10,27,Cross Country,,La Ram‚e - Honneur,"Secteur des A.P.S - Service Sp‚cialis‚

",Ouest,6.4
mai-10,"26 au 30

","Volant d'Or Open International
(mis en place le 23, d‚montage le 31)
", ,Compans,Volant Club Toulousain,Centre,1.2
mai-10,"27 et 28

",Tournoi des Ecoles,,Argoulets - terrains,Association Rebonds,Est,4.2
mai-10,28,Gala de Boxe,,GIAT - Pierre Montan‚,Boxing Toulouse Bagatelle,Ouest,6.1
mai-10,28,"""Le Mai des Minimes""",,Arnaun‚ - Rugby Honneur,Toulouse Olympique XIII,Nord,3.1
mai-10,28,Balade Urbaine,,Quartier Ponts Demoiselle et Montaudran,Ecole Anatole France,Sud Est,5.3
mai-10,29,Go–ter de fin d'ann‚e,,Piscine des 7 Deniers,B‚b‚ Dauphins,Nord,3.2
mai-10,29,"6Šme Edition ""Gala Boxe Toulousain""",,GIAT - Pierre Montan‚,Boxing Club Toulousain,Ouest,6.1
mai-10," 29



","Finales Championnat par ‚quipes jeunes



",,Cosec Mirail,Comit‚ D‚partemental Tennis de Table,Ouest,6.3
mai-10,29,Tournoi Interclubs boxe ‚ducateurs,,GIAT - Pierre Montan‚,Racing Club Montan‚ Toulouse,Ouest,6.1
mai-10,29,Fˆte Annuelle  ,,Montaudran - terrains + terrain de Boules,A.S.C.M Montaudran (Fˆtes et C‚r‚monies),Sud Est,5.1
mai-10,29,Tournoi annuel de foot,,Struxiano - Terrains Synth‚tique et Herbe,Association Toulousaine des Etudiants Mauriciens,Sud Est,5.3
mai-10,"29 et 30

",Toulouse Touch Festival,,Complexe Sportif  de l'Hers - Stade Alain Coulon,Toulouse Touch,Est,4.3
mai-10,"29 et 30

","Championnat France Nationale 3
Natation Synchronis‚e
"," 



",Piscine L‚o Lagrange,Comit‚ Midi-Pyr‚n‚es de Natation,Centre,1.1
mai-10,"29 et 30

",Tournoi Foot en Salle,,Lalande,Ecole de Commerce IDRAC - Mr Benjamin LOZE,Nord,3.3
mai-10,"29 et 30

",Fˆte du Printemps,,"Gironis

",Association MOZAIK,Ouest,6.5
mai-10,30,Concours de P‚tanque,,Cours Dillon,Amicale P‚tanque Club du Ravelin,Centre,2.1
mai-10,30,Tournoi de Foot,,Faourette-Terrain,Association A.G.A.T.E,Ouest,6.3
mai-10,30,Rencontre Voltaire,,Boulodrome,Amicale Bouliste Colonne Marengo,,
mai-10,30,"""Le Mai des Minimes""",,Arnaun‚ - Rugby Honneur,Toulouse Olympique XIII,Nord,3.1
mai-10,31,Journ‚e Mondiale sans tabac,,"Gironis

",H“pital Marchant,Ouest,6.5
mai-10,31mai au 24 juin,Tournoi Inter Services,,Candie - Saudrune,Thales Inter Sports,Ouest,6.4
mai-10,31mai au 30 juin,2Šme Mondialito de Foot Entreprise,,Saint Simon,Etoile Sportive Saint Simon,Ouest,6.4
juin-10,1,Animation Scolaire,,Arnaune - Terrain d'Honneur,TO XIII,Nord,3.1
juin-10,2,Label Eco Citoyen,,"Argoulets - Nouveau Gymnase

",Direction de l'Education,Est,4.3
juin-10,2,Soir‚e Dallard,,Salle 1938,FRAM / T.F.C.,sud Est,5.3
juin-10,2,R‚union des saisonniers,,Stadium - Espaces Loges,Secteur des APS,sud Est,5.3
juin-10,3,Printemps des Maternelles,,"Gironis

",USEP 31 Haute Garonne,Ouest,6.5
juin-10,3,Sport Sant‚ Tau - Bouge une priorit‚ pour ta sant‚,,Nakache + Parvis Stadium,UNSS - Mutualit‚ Fran‡aise,Sud Est,5.3
juin-10,3,Soir‚e Orange,,Espace Sud du Stadium,FRAM / T.F.C.,sud Est,5.3
juin-10,3,Ateliers divers pour personnes handicap‚s,,Boulodrome du Bazacle,T.E.C,,
juin-10,4,Animation Scolaire,,Arnaune - Terrain d'Honneur,TO XIII,Nord,3.1
juin-10,"4 au 6

","Finales Ligue Midi-Pyr‚n‚es Basket Ball

",,Compans,Ligue Midi-Pyr‚n‚es de Basket,Centre,1.2
juin-10,5,10 ans du titre Championnat de France Rugby … 13,,Arnaun‚,Anciens Toulouse Spacer's XIII,Nord,3.1
juin-10,5,Tournoi de Foot A7,,Lardenne - Terrains,Athl‚tico Tolosa,Ouest,6.2
juin-10,5,Concours D‚partemental P‚tanque,,Parc Ecole Patte d'Oie,Bouling Club de Roguet,Ouest,6.1
juin-10,5,Repas de Rue,,"Gironis - Boulodrome

",Habitante du quartier Lafourguette,Ouest,6.5
juin-10,5,2‚me Tournoi International Jeunes,,Argoulets,Toulouse Union Hand Ball,Est,4.2
juin-10,5,Tournoi Volley 3x3,,Cosec Mirail et Nouveau,Association des Sourds de Tolosa,Ouest,6.3
juin-10,5,Fˆtes des Sports,,Bagatelle,APS / Sports,Rive Gauche,2.3
juin-10,5,Les C‚sars du Foot Citoyen Projet Delta,,Canto Laouzetto,ASTM - Ecole Sup‚rieure de Commerce - Mr Guitton - Projet Delta,Ouest,6.3
juin-10,5,Tournoi de Volley,,Struxiano,Association pour la Promotion de l'Activit‚,sud Est,5.3
juin-10,5 et 6,Championnat de France Corporatif Badminton,,GIAT - Pierre Montan‚,Ligue Midi Pyr‚n‚es Badminton,Ouest,6.1
juin-10,5 et 6,La Fˆte du Nautisme,,La Ram‚e - LAC,Comit‚ D‚partemental de Voile,Ouest,6.4
juin-10,5 et 6,Moove Sports,,Claude Nougaro - Gymnase,MOOVE les Minimes,Nord,3.1
juin-10,5 et 6,Tournoi Foot U7 - U15,,"Gironis

",TAC Foot,Ouest,6.5
juin-10,5 et 6,TOP 100 National - de 16 ans,,TOEC,Comit‚ Midi-Pyr‚n‚es de Rugby,Rive Gauche,2.1
juin-10,5 et 6,Tournoi International de Water Polo,,L‚o Lagrange,Stade Toulousain Natation,Centre,1.3
juin-10,6,Stage Perfectionnement,,Rangueil,Tha‹ Boxing Club,sud Est,5.2
juin-10,6,Vide Grenier,,Place Baudouin,"P‚tanque Casselardit

",Ouest,6.1
juin-10,9,Fˆte des Sports,,Jean Moulin,Maternelle et El‚mentaire Jules Julien,Sud Est,5.3
juin-10,9,23Šme Fˆte d'Empalot,,Daste et Corbarieu,HAZUR,Sud Est,5.3
juin-10,9,France / Egypte    ,,Z‚nith,Toulouse Hand ball,,
juin-10,9,Fˆte des Associations Basket,,Pont du Stadium,UNSS,Sud Est,5.3
juin-10,10,Tournoi + Barbecue,,Pradettes - Terrains,A.S.P.I.C,Ouest,6.2
juin-10,10,Soir‚e Conviviale,,Piscine Castex,Dauphins du Toec,sud Est,5.3
juin-10,10,Concours Officiels,,Croix Daurade,Club P‚tanque Croix Daurade,,
juin-10,11,Tournoi Partenaires,,Stadium,T.F.C.,Sud Est,5.3
juin-10,"11,12 et 13",Orangine / Beach Rugby,,SesquiŠres,Paulimaxi,Nord,3.3
juin-10,12,Mini Tournoi de Foot,,Pradettes,Centre Animation - Accueil Loisirs,Ouest,6.2
juin-10,12,40 ans AS La Faourette,,Terrain + Gymnase,AS La Faourette,Ouest,6.3
juin-10,12,Rencontres Ecole Vidal,,Boulodrome,Amicale Bouliste Colonne Marengo,,
juin-10,12,Fˆte annuelle des Pradettes,,Pradettes,Collectif des Associations des Pradettes,Ouest,6.2
juin-10,12,Fˆte du Club,,Struxiano - Terrains Synth‚tique et Herbe,Union Sportive Jules Julien,Sud Est,5.3
juin-10,12,Vide Grenier,,Boulodrome Amidonniers,Club de Boules le Tracassin,,
juin-10,12,7Šme Tournoi de Rugby … la Cocarde,,TOEC,Aoucous,Rive Gauche,2.1
juin-10,12,Inauguration Palais de P‚tanque Claudette Dumont,,Maison de la P‚tanque,Cabinet du Maire,,
juin-10,12,Fˆte du Club,,Stade Alain Coulon,TUC Rugby,Est,4.3
juin-10,12,Le Grand Bivouac,,Empalot,Animation Socio culturelle + MJC,Sud Est,5.3
juin-10,12 et 13,Coupe des R‚gions 2010,,Piscine L‚o Lagrange,Choks Hockey Subaquatique Toulouse,Centre,1.1
juin-10,12 et 13,9Šme National de la Digue, ,Cours Dillon,P‚tanque de la Ligue,Rive Gauche,2.1
juin-10,12 et 13,Tournoi et Fˆte de Fin d'ann‚e,,Cazal Lapujade,R.C. Bonnefoy,Nord,3.1
juin-10,12 et 13,Contest Skateboard,,Skate Park Place de l'Europe,ARA,,
juin-10,12 et 13,Tournoi F‚d‚ral Basket F.S.G.T.,,C‚piŠre,FSGT Basket,,
juin-10,13,Vide Grenier AS Hersoise,,TUC,AS Hersoise - Manif g‚r‚e par Fˆtes et C‚r‚monies,Est,4.3
juin-10,13,Animation,,Argoulets,Stade Toulousain BaseBall,Est,4.2
juin-10,13,4Šme Edition 4ever,,Pont du Stadium,ARA,Sud Est,5.3
juin-10,13,Tournoi de Basket Only The Strong Survive,,Compans,ARA,Centre,1.2
juin-10,13,Tournoi Annuel,,La Ram‚e,Toulouse Fontaines Club,Ouest,6.4
juin-10,13,"Passage de grade r‚gional

",,Toulouse Lautrec - Gymnase du Lyc‚e,Comit‚ r‚gional Tae Kwon Do,Nord,3.1
juin-10,14,Rencontre Sportive,,Pech David,Inspection Acad‚mique / Ecole Fourtanier,Sud Est,5.3
juin-10,14 au 18,Journ‚es d'Education th‚rapeutique de groupe,,L‚o Lagrange - Piscine - Gymnase,Enfance Adolescence et DiabŠte,Centre,1.3
juin-10,15,Manifestation - Journ‚e VTT,,Struxiano,Service Sp‚cialis‚,Est,4.3
juin-10,16,Fˆte des Associations Basket,,Pont du Stadium,UNSS,Sud Est,5.3
juin-10,16,R‚unions Pl‚niŠres - Parlement du Sport,,Stadium - Espaces Delsol,Direction des Sports,Sud Est,5.3
juin-10,17,Concours de Boules Lyonnaises,,Boulodrome - Avenue de la Gloire,Amicale Bouliste Salonique,,
juin-10,17,Manifestation,,Complexe de  l'Hers - Escrime + Club House,Service Sp‚cialis‚,Est,4.3
juin-10,18,Spectacle de fin d'ann‚e,,Pradettes - Gymnase,Arts du Cirque des Pradettes,Ouest,6.2
juin-10,18,Journ‚e Portes Ouvertes,,Reynerie,Ecole ‚l‚mentaire Gallia,Ouest,6.3
juin-10,18,Tournoi de Foot,,La Ram‚e,Airbus,Ouest,6.4
juin-10,18,Fˆte de Fin d'ann‚e,,Pierre et Marie Curie - Gymnase,Ecole El‚mentaire Pierre et Marie Curie,Nord,3.1
juin-10,18,Char de la Parade,,Cazal Lapujade - Parking,Comit‚ des Fˆtes Croix Daurade,Nord,3.1
juin-10,18 et 20,Challenge de l'Espace 2010, ,Argoulets,Toulouse Saint Jo Football Club,Est,4.3
juin-10,18,Fˆte fin d'ann‚e Ecole Natation,,L‚o Lagrange - Piscine,Dauphins du Toec,Centre,1.3
juin-10,19,Tournoi de Foot de la Solidarit‚,,MounŠde,Association Soleil,Ouest,6.4
juin-10,19,Fˆte de fin d'ann‚e,,Amouroux,APSAR,Nord,3.4
juin-10,19,Fˆte du Club,,Lautrec - Piscine,TOAC Airbus Natation,Nord,3.1
juin-10,19,Concours de P‚tanque,,Heracles,P‚tanque Heracles,Centre,1.2
juin-10,19,Journ‚e R‚colte de Fonds - Lutte contre la Polio,,L‚o Lagrange,Rotary Club - Toulouse Terre d'envol,Centre,1.3
juin-10,19,Tournoi Boxe Fran‡aise,,Compans,Tago Gym,Centre,1.2
juin-10,19,Garden Part'Est 2010,,GIAT - Pierre Montan‚,ICAM,Ouest,6.1
juin-10,19,Tournoi de Volley + Foot,,Cosec Mirail -  Gymnase + Terrain,Kanak de Toulouse,Ouest,6.5
juin-10,19,Tournoi U8 - U9,,Canto Laouzetto,ASTM,Ouest,6.3
juin-10,19,Coupe du Cotre,,Ohnet Georges,TAGO Gym,Ouest,6.3
juin-10,19,40 ans de l'IUT Paul Sabatier,,Candie - Saudrune,IUT Toulouse,Ouest,6.4
juin-10,19 et 20,Tournoi Annuel,,Complexe Borderouge - Sastres,Jeune Entente Toulousaine,Nord,4.3
juin-10,19 et 20,Tournoi Annuel,,Lardenne,Association Toulouse Lardenne,Ouest,6.2
juin-10,20,Animation,,Argoulets,Stade Toulousain BaseBall,Est,4.2
juin-10,20,Passage de Test,,Comit‚ D‚partemental Natation,L‚o Lagrange - Piscine,Centre,1.3
juin-10,20,Rencontres Club P‚tanque,,Boulodrome,Amicale Bouliste Colonne Marengo,,
juin-10,20,Concours,,Boulodrome Du Club,La Boule du Rugby,,
juin-10,20,Course,,Canto Laouzetto,G‚n‚ration Plus - Ecole la ClairiŠre,Ouest,6.3
juin-10,20,Tournoi de Foot,,MounŠde,Communaut‚ Africaine GERCA,Ouest,6.4
juin-10,"21 et 22


",Rencontre Inter Ecole de Hand Ball,,Struxiano,Inspection Acad‚mique,Sud Est,5.1
juin-10,22 et 23,Retransmission Coupe du Monde,,Bagatelle - Halle Couverte,DDS - Collectif des Habitants,Rive Gauche,2.3
juin-10,22 et 23,Gala de fin d'ann‚e,,Fraternit‚,T.S.G.,Est,4.2
juin-10,24,Nos quartiers ont des talents,,Espace du Stadium,FRAM / T.F.C.,Sud Est,35.3
juin-10,25,Kermesse de l'Ecole,,Saint Sernin,Ecole Maternelle Merly,Centre,1.2
juin-10,25,Course de l'espace,,Chƒteau de l'Hers - Sanitaire,Fˆtes et C‚r‚monies,Est,4.3
juin-10,du 25 /06 au 31/07,Sous les Toiles,,Daste,Karavan,Sud Est,5.3
juin-10,"25, 26 et 27",2Šme Edition Rock et Rose - Tournoi Europ‚en,,Compans - Gymnase,Stade Toulousain Rugby Handisport,Centre,1.2
juin-10,"25, 26 et 27",Championnat R‚gionnal de Classement 2010 de Natation,,Piscine L‚o Lagrange,TOAC Natation,Centre,1.1
juin-10,26,Tournoi de Foot,,Toulouse Lautrec,Etudiants S‚n‚galais,Nord,3.1
juin-10,26,Pot de fin de saison,,Fraternit‚,T.C.P,Est,4.2
juin-10,26,Accueil Villes de France,,Boulodrome,Amicale Bouliste Colonne Marengo,,
juin-10,26,Journ‚e Sportive,,Chƒteau de l'Hers,Chronopost,Est,4.3
juin-10,26,Manifestation Sportive,,Grande Plaine - Terrains de libre accŠs,ARAPL,Est,4.3
juin-10,26,Fˆte du Club,,Rangueil,Toulouse Rangueil Football Club,sud Est,5.2
juin-10,26,Loto,,Bagatelle - Halle,"Stop … la Violence

",Rive Gauche,2.3
juin-10,26,Fˆte du Club,,Rangueil,Coquelicot Toulouse Gym,Sud Est,5.3
juin-10,26,Fˆte du Club,,Saint Simon,Etoile Sportive Saint Simon,Ouest,6.4
juin-10,26,Vide Grenier,,Mirail,Fˆtes et C‚r‚monies,Ouest,6.3
juin-10,27,Animation,,Argoulets,Stade Toulousain BaseBall,Est,4.2
juin-10,27,Tournoi de Green Volley,,Lardenne,Toulouse Lardenne,Ouest,6.2
juin-10,27,Rencontres Ligue Mondiale de Volley, ,Palais des Sports,Ligue Mondiale de Volley,Centre,1.2
juin-10,27,Animation de fin de saison,,Argoulets - Patinoire,Toulouse Blagnac Hockey Club,Est,4.2
juin-10,27,Concours de Boules,,Amidonniers,Club Bouliste le Tracassin,,
juin-10,28,Pot de fin de saison,,Valmy - salle de r‚union,Arts Martiaux Toulouse Mirail,Ouest,6.3
juin-10,28,Loto,,Daste,Association Loisirs Plaisirs 31,sud Est,5.3
juin-10,29,Tournoi des Ecoles,,Arnaun‚ - Honneur + Synth‚tique,TO XIII,Nord,3.1
juin-10,30,Tournoi de Foot,, MounŠde,l'ESSOR Toulouse,Ouest,6.4
