MANIFESTATIONS SPORTIVES 2009/2010,,,,,,,
,,,,,,,
  MANIFESTATIONS MAJEURES,,,,,,,
NB : Les nouvelles manifestations sont indiques en gras,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Mois,"Date

",Manifestations,Type,Lieux,Organisateurs,Secteur,Quartiers
sept-09,"27

",Concours de P‚tanque,,Boulodrome Minimes,La Boule du Rugby,Nord,3.1
sept-09,"27 et 28

",Fˆtes du YOM KIPPOUR,,Compans - Gymnase,A.C.I.T.,Centre,1.2
sept-09,30,Inauguration City Stade,,City Stade TABAR,Ville de Toulouse / Desbals Jeunes,Rive Gauche,2.3
oct-09,"1

","Concours de P‚tanque


",,Boulodrome Dubarry,Bouling Club de Roguet,Ouest,6.1
oct-09,3 et 4,"Concours de P‚tanque


",,Boulodrome Raspail,Raspail C“te Pav‚e P‚tanque,,
oct-09,4,"Concours de P‚tanque


",,Place du Ravelin,Club  P‚tanque Ravelin,Rive Gauche,2.1
oct-09," 4

",Soir‚e  des Clubs,,"Mermoz
Stadium","Service des Sports

",Sud Est,5.3
oct-09,"4

",Vide Grenier,,Chƒteau de l'Hers,Club Patinage Tlse Limayrac,Est,4.3
oct-09,7,Conf‚rence de Presse Monsieur le Maire,,Stadium - Terrain nø2,Communaut‚ Urbaine,Sud Est,5.3
oct-09,"9, 10 et 11

","Championnat du Grand Sud de Dressage Ecole Nationale V‚t‚rinaire

",,Ecole V‚t‚rinaire,"Club Hippique de Pech David

",Sud Est,5.2
oct-09,10,Conf‚rence J.C. Baque,,Club House TUC Rugby,TUC Rugby,Est,4.3
oct-09,"10

","Loto

",,"La Halle de Bagatelle

","Stop … la Violence

",Rive Gauche,2.3
oct-09,11,Journ‚e d'Int‚gration - Nouveaux ‚tudiants,,GIAT - Pierre Montan‚,Amicale des Gabonais,Ouest,6.1
oct-09,"11

",Hippodrome de Toulouse,,Hippodrome de Toulouse,Hippodrome de Toulouse,Ouest,6.1
oct-09,11,"Tournoi de Foot


",,Rangueil,Toulouse Rangueil Football Club,Sud Est,5.2
oct-09,11,Concours Officiel de Triplette,,Place Roger Arnaud,P‚tanque  Pont des Demoiselles,Sud Est,5.1
oct-09,16,Baga 'Course,,Bagatelle - Vincent Serrer,Inspection Acad‚mique,Rive Gauche,2.3
oct-09,17,Inauguration City StadeTABAR,,Place Andr‚ Mathieu,Cabinet du Maire,Ouest,2.3
oct-09,17,La P‚tanque de mon quartier Saint Georges,,Place Saint Georges,Saint Georges Mon quartier,Centre,1.1
oct-09,"17 et 18

",1er Tour Crit‚rium F‚d‚ral,,Cosec Mirail,Comit‚ D‚partemental Tennis de Table,Ouest,6.3
oct-09,"17 et 18

",Tournoi Jeunes,,GIAT - Pierre Montan‚,Volant Club Toulousain,Ouest,6.1
oct-09,"18

",Challenge Jeunes de Can”e Kayak,,Bras de la Loge,Cano‰ Kayak Toulousain,Sud Est,5.3
oct-09,"18

",Concours Doublettes,,Boulodrome,P‚tanque Club Amouroux,Est,3.4
oct-09,20,Cross du CollŠge Croix Daurade,,Cazal Lapujade,CollŠge Croix Daurade,Est,4.1
oct-09,"20 et 21

",France / Irlande Futsal, ,Palais des Sports,Ligue Midi Pyr‚n‚es de Football,Centre,1.2
oct-09," 21

",Cross du Lyc‚e,,Marcel Cerdan,LEP Mirail,,
oct-09,"22

",Tournoi,,Saint Sernin,Lyc‚e Ozenne,Centre,1.2
oct-09,22,S‚lection France Angleterre,,Arnaun‚ - Gymnase,Stade Toulousain Rugby Handisport,Nord,3.1
oct-09,22,Cross Annuel,,Ponts Jumeaux,CollŠge Ponts Jumeaux,Nord,3.2
oct-09,"23

",Foul‚e Milles Pattes,,"Prairie des Filtres
Stadium
","Secteur des A.P.S - Tlse Sport

",Sud Est,5.3
